Year,Lag2,Direction
1994,1.061,Up
1994,0.377,Down
1994,2.183,Down
1994,-0.593,Up
1994,-0.597,Down
1994,0.643,Up
1994,-2.445,Down
1994,0.661,Up
1994,-1.645,Down
1994,3.076,Up
1994,-0.897,Down
1994,1.91,Up
1994,-2.425,Down
1994,0.015,Down
1994,-0.19,Up
1994,-1.989,Down
1994,0.223,Up
1994,-1.399,Up
1994,2.649,Down
1995,0.224,Up
1995,-0.122,Up
1995,0.307,Down
1995,1.148,Up
1995,-0.255,Up
1995,1.207,Up
1995,1.756,Up
1995,0.587,Up
1995,0.106,Down
1995,1.274,Up
1995,-0.551,Up
1995,0.855,Up
1995,1.215,Down
1995,1.1,Up
1995,-0.052,Up
1995,1.14,Down
1995,0.555,Up
1995,-0.145,Up
1995,1.223,Up
1995,1.051,Down
1995,1.044,Up
1995,-1.21,Up
1995,0.859,Down
1995,1.692,Up
1995,-0.858,Up
1995,2.252,Down
1995,1.83,Up
1995,-0.902,Up
1995,2.133,Down
1995,0.633,Up
1995,-1.12,Down
1995,1.682,Down
1995,-0.709,Up
1995,-0.685,Up
1995,0.739,Up
1995,0.159,Up
1995,0.668,Up
1995,1.568,Down
1995,1.863,Up
1995,-0.278,Down
1995,0.461,Up
1995,-0.329,Up
1995,0.345,Down
1995,0.506,Up
1995,-1.321,Up
1995,1.875,Up
1995,0.364,Down
1995,1.24,Up
1995,-0.017,Up
1995,1.168,Down
1995,1.73,Down
1995,-0.185,Up
1996,-0.712,Up
1996,0.65,Down
1996,0.127,Up
1996,-2.416,Up
1996,1.665,Up
1996,1.6,Up
1996,2.288,Down
1996,3.229,Up
1996,-1.278,Down
1996,1.713,Down
1996,-2.232,Up
1996,-1.687,Up
1996,1.252,Down
1996,1.433,Up
1996,-0.787,Down
1996,1.605,Up
1996,-2.92,Up
1996,1.313,Down
1996,1.301,Up
1996,-1.81,Up
1996,1.63,Up
1996,2.579,Down
1996,1.435,Up
1996,-1.384,Down
1996,0.626,Up
1996,-1.108,Up
1996,0.149,Down
1996,0.568,Down
1996,-1.967,Down
1996,-1.711,Down
1996,-1.154,Up
1996,-0.443,Down
1996,4.181,Up
1996,-0.059,Up
1996,0.47,Down
1996,0.274,Up
1996,-2.255,Up
1996,0.566,Up
1996,3.791,Down
1996,0.954,Up
1996,-0.122,Down
1996,2.225,Up
1996,-0.114,Down
1996,1.45,Up
1996,-1.393,Up
1996,0.407,Up
1996,3.844,Up
1996,0.93,Up
1996,1.506,Down
1996,1.107,Down
1996,-2.301,Up
1996,-1.482,Up
1996,2.776,Down
1997,1.058,Up
1997,-1.158,Up
1997,1.533,Down
1997,2.195,Up
1997,-0.728,Up
1997,2.03,Up
1997,0.432,Down
1997,2.396,Down
1997,-0.83,Up
1997,-1.366,Down
1997,1.789,Down
1997,-1.466,Down
1997,-1.144,Down
1997,-1.303,Down
1997,-2.065,Up
1997,-2.672,Down
1997,3.889,Up
1997,-0.127,Up
1997,6.219,Up
1997,1.453,Up
1997,0.603,Up
1997,2.083,Up
1997,0.148,Up
1997,1.147,Up
1997,4.11,Down
1997,0.608,Up
1997,-1.268,Down
1997,3.338,Down
1997,-0.026,Up
1997,-0.151,Up
1997,2.566,Down
1997,0.889,Down
1997,-1.436,Up
1997,-3.506,Down
1997,2.523,Up
1997,-2.606,Down
1997,3.289,Up
1997,-0.553,Down
1997,2.879,Up
1997,-0.557,Up
1997,2.096,Down
1997,0.202,Down
1997,-2.36,Down
1997,-0.267,Up
1997,-2.869,Up
1997,1.409,Up
1997,0.091,Down
1997,3.742,Up
1997,-0.798,Down
1997,2.972,Down
1997,-3.09,Down
1997,-0.693,Up
1998,-1.09,Down
1998,4.12,Up
1998,-4.856,Down
1998,3.646,Up
1998,-0.408,Up
1998,2.369,Up
1998,3.283,Up
1998,0.754,Up
1998,1.384,Up
1998,1.463,Up
1998,0.605,Up
1998,1.224,Down
1998,2.859,Up
1998,-0.338,Down
1998,2.488,Up
1998,-1.072,Down
1998,1.085,Up
1998,-1.32,Down
1998,1.182,Up
1998,-1.147,Up
1998,0.053,Down
1998,0.157,Up
1998,-1.77,Down
1998,2.112,Up
1998,-1.348,Up
1998,0.165,Up
1998,2.957,Up
1998,1.167,Up
1998,1.562,Down
1998,1.926,Down
1998,-3.872,Down
1998,-1.765,Down
1998,-2.786,Up
1998,-2.451,Down
1998,1.74,Down
1998,-5.004,Up
1998,-5.184,Up
1998,3.611,Up
1998,1.093,Down
1998,2.417,Down
1998,-4.034,Up
1998,-1.816,Up
1998,7.317,Up
1998,1.349,Up
1998,2.615,Down
1998,3.854,Up
1998,-1.34,Up
1998,3.361,Down
1998,2.473,Down
1998,-1.308,Up
1998,-0.874,Up
1998,1.849,Up
1999,3.219,Up
1999,0.241,Down
1999,3.731,Down
1999,-2.496,Up
1999,-1.453,Down
1999,4.444,Down
1999,-3.145,Up
1999,-0.748,Down
1999,0.739,Up
1999,-0.072,Up
1999,2.999,Up
1999,1.499,Down
1999,0.363,Up
1999,-1.269,Up
1999,0.851,Down
1999,4.223,Up
1999,-2.177,Down
1999,2.87,Up
1999,-1.597,Down
1999,0.735,Down
1999,-0.535,Down
1999,-0.561,Up
1999,-2.139,Down
1999,1.99,Up
1999,-2.569,Down
1999,3.803,Up
1999,-2.05,Up
1999,5.771,Up
1999,0.867,Down
1999,1.105,Down
1999,-4.359,Down
1999,-2.08,Up
1999,-2.14,Up
1999,2.106,Up
1999,0.673,Up
1999,0.872,Down
1999,0.665,Down
1999,-0.411,Down
1999,-1.201,Up
1999,-4.348,Up
1999,0.427,Down
1999,4.148,Up
1999,-6.632,Up
1999,4.348,Up
1999,4.708,Up
1999,0.536,Up
1999,1.885,Down
1999,1.858,Up
1999,-0.378,Down
1999,1.177,Up
1999,-1.134,Up
1999,0.282,Up
2000,2.626,Down
2000,0.748,Up
2000,-1.891,Down
2000,1.643,Down
2000,-1.624,Up
2000,-5.634,Down
2000,4.721,Down
2000,-2.615,Down
2000,-2.958,Up
2000,-0.946,Down
2000,5.686,Up
2000,-1.001,Up
2000,4.975,Down
2000,4.301,Up
2000,-1.891,Down
2000,1.186,Up
2000,-10.538,Up
2000,5.748,Down
2000,1.247,Down
2000,-1.363,Down
2000,-0.815,Down
2000,-0.986,Up
2000,-2.056,Down
2000,7.202,Up
2000,-1.375,Down
2000,0.515,Up
2000,-1.569,Up
2000,0.91,Up
2000,1.671,Down
2000,2.102,Down
2000,-1.973,Up
2000,-4.074,Up
2000,3.031,Up
2000,0.609,Up
2000,1.351,Up
2000,0.987,Down
2000,0.951,Down
2000,-1.727,Down
2000,-1.92,Down
2000,-1.166,Down
2000,-0.843,Down
2000,-1.916,Up
2000,-2.471,Down
2000,1.656,Up
2000,-1.242,Down
2000,3.415,Up
2000,-4.255,Down
2000,0.127,Down
2000,-1.897,Up
2000,-1.978,Down
2000,4.156,Down
2000,-4.215,Up
2001,-0.473,Down
2001,1.097,Up
2001,-1.661,Up
2001,1.556,Up
2001,1.819,Down
2001,0.924,Down
2001,-0.404,Down
2001,-2.572,Down
2001,-1.006,Down
2001,-4.277,Down
2001,-0.938,Down
2001,-0.062,Down
2001,-6.72,Up
2001,-0.93,Down
2001,1.799,Up
2001,-2.749,Up
2001,4.88,Up
2001,5.026,Up
2001,0.81,Down
2001,1.082,Up
2001,-1.653,Down
2001,3.716,Down
2001,-1.089,Up
2001,-1.348,Down
2001,0.34,Up
2001,-4,Down
2001,0.905,Down
2001,-0.079,Up
2001,-2.76,Down
2001,2.107,Down
2001,-0.397,Up
2001,-0.415,Down
2001,0.707,Down
2001,-1.992,Up
2001,-2.369,Down
2001,1.976,Down
2001,-4.334,Down
2001,-4.217,Up
2001,-11.05,Up
2001,7.78,Up
2001,2.924,Down
2001,1.892,Up
2001,-1.664,Down
2001,2.9,Up
2001,-1.576,Up
2001,3.045,Up
2001,1.637,Down
2001,1.027,Up
2001,-0.947,Down
2001,1.655,Up
2001,-3.041,Up
2001,1.941,Up
2002,1.409,Down
2002,0.99,Down
2002,-2.295,Up
2002,-1.573,Down
2002,0.506,Down
2002,-0.978,Up
2002,-2.315,Down
2002,0.726,Up
2002,-1.299,Up
2002,3.848,Up
2002,2.874,Down
2002,0.159,Down
2002,-1.497,Down
2002,-0.114,Down
2002,-2.149,Up
2002,-1.044,Down
2002,1.275,Down
2002,-4.342,Down
2002,-0.269,Up
2002,-1.718,Down
2002,4.891,Down
2002,-2.058,Down
2002,-1.539,Down
2002,-3.712,Down
2002,-1.972,Up
2002,-1.8,Down
2002,0.069,Down
2002,-0.08,Down
2002,-6.839,Up
2002,-7.992,Up
2002,0.6,Up
2002,1.337,Up
2002,5.137,Up
2002,2.215,Down
2002,1.302,Down
2002,-2.635,Down
2002,-2.418,Down
2002,-0.46,Down
2002,-4.992,Down
2002,-2.132,Up
2002,-3.238,Up
2002,4.339,Up
2002,5.874,Up
2002,1.499,Down
2002,0.369,Up
2002,-0.69,Up
2002,1.687,Up
2002,2.277,Down
2002,0.619,Down
2002,-2.572,Up
2002,-2.494,Down
2002,0.706,Up
2003,-2.273,Up
2003,3.791,Down
2003,2.089,Down
2003,-2.78,Down
2003,-4.478,Down
2003,-0.662,Up
2003,-3.04,Up
2003,0.627,Down
2003,1.591,Down
2003,-0.828,Up
2003,-1.458,Up
2003,0.528,Down
2003,7.503,Up
2003,-3.605,Down
2003,1.778,Up
2003,-1.2,Up
2003,2.911,Up
2003,0.585,Up
2003,3.479,Up
2003,0.358,Down
2003,1.167,Up
2003,-1.173,Up
2003,3.254,Up
2003,2.508,Up
2003,0.086,Down
2003,0.716,Up
2003,-1.955,Up
2003,0.971,Down
2003,1.262,Up
2003,-0.483,Down
2003,0.54,Down
2003,-1.855,Up
2003,-0.261,Up
2003,1.338,Up
2003,0.241,Up
2003,1.505,Down
2003,1.327,Up
2003,-0.27,Down
2003,1.735,Up
2003,-3.807,Up
2003,3.31,Up
2003,0.797,Down
2003,0.121,Up
2003,-1.002,Up
2003,2.119,Down
2003,0.238,Down
2003,-0.272,Up
2003,-1.435,Up
2003,2.214,Up
2003,0.312,Up
2003,1.191,Up
2003,1.352,Up
2004,0.664,Up
2004,1.149,Up
2004,1.207,Up
2004,1.602,Down
2004,0.151,Up
2004,-0.913,Up
2004,1.028,Down
2004,0.267,Up
2004,-0.148,Up
2004,0.073,Down
2004,1.041,Down
2004,-3.137,Down
2004,-0.963,Up
2004,-0.155,Down
2004,3.046,Down
2004,-0.218,Up
2004,-0.413,Down
2004,0.528,Down
2004,-2.92,Down
2004,-0.777,Down
2004,-0.273,Up
2004,-0.195,Up
2004,2.48,Up
2004,0.162,Down
2004,1.245,Down
2004,-0.128,Down
2004,-0.052,Down
2004,-0.798,Down
2004,-1.117,Down
2004,-1.026,Up
2004,-1.379,Down
2004,1.429,Up
2004,-3.426,Up
2004,0.078,Up
2004,3.151,Up
2004,0.858,Up
2004,0.529,Up
2004,0.924,Down
2004,0.412,Up
2004,-1.634,Down
2004,1.927,Down
2004,-0.827,Down
2004,-1.242,Up
2004,-1.124,Up
2004,3.145,Up
2004,3.183,Down
2004,1.544,Up
2004,-1.168,Up
2004,1.052,Down
2004,0.72,Up
2004,-0.266,Up
2004,0.522,Up
2005,1.334,Down
2005,0.148,Down
2005,-2.123,Down
2005,-0.141,Up
2005,-1.406,Up
2005,0.299,Up
2005,2.704,Down
2005,0.189,Up
2005,-0.308,Up
2005,0.814,Down
2005,0.887,Down
2005,-1.803,Down
2005,-0.869,Up
2005,-1.532,Up
2005,0.128,Down
2005,0.706,Up
2005,-3.266,Up
2005,0.831,Up
2005,0.411,Down
2005,1.253,Up
2005,-1.477,Up
2005,3.053,Down
2005,0.799,Up
2005,-0.23,Up
2005,0.175,Down
2005,1.573,Up
2005,-2.086,Up
2005,0.241,Up
2005,1.458,Up
2005,1.325,Up
2005,0.469,Down
2005,0.041,Up
2005,-0.629,Down
2005,0.324,Down
2005,-0.868,Up
2005,-1.198,Up
2005,1.072,Down
2005,1.926,Down
2005,-0.288,Up
2005,-1.827,Down
2005,1.112,Down
2005,-2.678,Down
2005,-0.78,Up
2005,-0.588,Up
2005,1.595,Up
2005,1.813,Up
2005,1.195,Up
2005,1.097,Down
2005,1.601,Down
2005,-0.25,Up
2005,-0.451,Up
2005,0.631,Down
2006,0.106,Up
2006,-1.606,Up
2006,2.977,Down
2006,0.168,Up
2006,-2.029,Down
2006,1.762,Up
2006,-1.534,Up
2006,0.234,Up
2006,1.598,Down
2006,0.17,Down
2006,-0.171,Up
2006,-0.451,Down
2006,2.016,Down
2006,-0.329,Up
2006,-0.62,Down
2006,0.049,Up
2006,-0.492,Down
2006,1.719,Up
2006,-0.051,Down
2006,1.156,Down
2006,-2.604,Up
2006,-1.875,Up
2006,1.036,Down
2006,0.63,Down
2006,-2.788,Down
2006,-0.061,Up
2006,-0.563,Down
2006,2.065,Down
2006,-0.372,Up
2006,-2.314,Up
2006,0.331,Up
2006,3.085,Down
2006,0.063,Up
2006,-0.986,Down
2006,2.807,Up
2006,-0.554,Down
2006,1.229,Up
2006,-0.922,Down
2006,1.597,Up
2006,-0.37,Up
2006,1.603,Up
2006,1.029,Up
2006,1.188,Up
2006,0.218,Down
2006,0.639,Up
2006,-0.947,Up
2006,1.217,Down
2006,1.47,Down
2006,-0.018,Up
2006,-0.303,Up
2006,0.94,Down
2006,1.224,Up
2007,-1.144,Down
2007,0.534,Up
2007,-0.606,Down
2007,1.491,Down
2007,-0.016,Up
2007,-0.582,Down
2007,1.843,Up
2007,-0.713,Down
2007,1.216,Down
2007,-0.299,Up
2007,-4.412,Down
2007,1.13,Up
2007,-1.133,Down
2007,3.544,Up
2007,-1.062,Up
2007,1.612,Up
2007,0.63,Up
2007,2.168,Up
2007,0.655,Up
2007,0.773,Up
2007,0.015,Down
2007,1.122,Up
2007,-0.461,Down
2007,1.36,Up
2007,-1.866,Down
2007,1.674,Up
2007,-1.98,Up
2007,0.053,Up
2007,1.802,Down
2007,1.441,Down
2007,-1.185,Down
2007,-4.899,Up
2007,-1.775,Down
2007,1.436,Up
2007,-0.53,Down
2007,2.312,Down
2007,-0.364,Up
2007,-1.387,Up
2007,2.112,Up
2007,2.796,Up
2007,0.066,Up
2007,2.02,Down
2007,0.27,Up
2007,-3.917,Down
2007,2.309,Down
2007,-1.669,Up
2007,-3.706,Down
2007,0.347,Up
2007,-1.237,Up
2007,2.807,Down
2007,1.588,Up
2007,-2.44,Down
2007,1.125,Down
2008,-0.402,Down
2008,-4.522,Down
2008,-0.752,Up
2008,-5.412,Up
2008,0.409,Down
2008,4.871,Up
2008,-4.596,Up
2008,1.405,Down
2008,0.231,Down
2008,-1.661,Down
2008,-2.8,Up
2008,-0.404,Down
2008,3.212,Up
2008,-1.075,Down
2008,4.195,Up
2008,-2.742,Up
2008,4.314,Up
2008,0.54,Down
2008,1.149,Up
2008,-1.812,Down
2008,2.67,Up
2008,-3.467,Down
2008,1.777,Down
2008,-2.835,Down
2008,-0.048,Down
2008,-3.096,Down
2008,-3.001,Down
2008,-1.211,Up
2008,-1.854,Down
2008,1.71,Up
2008,-0.232,Up
2008,0.203,Up
2008,2.857,Down
2008,0.145,Down
2008,-0.462,Down
2008,-0.725,Up
2008,-3.159,Up
2008,0.756,Down
2008,0.27,Down
2008,-3.331,Down
2008,-9.399,Up
2008,-18.195,Down
2008,4.596,Up
2008,-6.781,Down
2008,10.491,Down
2008,-3.898,Down
2008,-6.198,Up
2008,-8.389,Down
2008,12.026,Up
2008,-2.251,Up
2008,0.418,Down
2008,0.926,Up
